3-laptop (gadget, rectangle, red, medium)
1-tennis ball (sports, round, green, medium)
3-tv (gadget, rectangle, black, medium)
1-laptop (gadget, rectangle, red, medium)
wildcard tux 1
1-piano (music, rectangle, black, large)
1-paper airplane (toy, triangle, yellow, small)
1-handphone (gadget, rectangle, black, small)
2-alphabet block (toy, rectangle, green, small)
1-golf ball (sports, round, white, small)
2-handphone (gadget, rectangle, black, small)
1-grape (fruit, round, purple, small)
3-grape (fruit, round, purple, small)
3-paper airplane (toy, triangle, yellow, small)
