2-cake slice (food, triangle, orange, small)
2-pizza slice (food, triangle, yellow, medium)
2-grape (fruit, round, purple, small)
2-tennis ball (sports, round, green, medium)
2-hat (fashion, round, purple, medium)
2-paper airplane (toy, triangle, yellow, small)
wildcard max 4
1-table (furniture, rectangle, brown, medium)
2-basket ball (sports, round, orange, large)
2-piano (music, rectangle, black, large)
3-cloth hanger (fashion, triangle, blue, large)
2-cloth hanger (fashion, triangle, blue, large)
1-pyramid (building, triangle, brown, large)
2-pyramid (building, triangle, brown, large)
3-pizza slice (food, triangle, yellow, medium)
3-dice (toy, rectangle, red, small)
3-watermelon (fruit, round, green, large)
3-house roof (building, triangle, red, large)
3-grape (fruit, round, purple, small)
wildcard max 5
1-paper airplane (toy, triangle, yellow, small)
1-golf ball (sports, round, white, small)
1-handphone (gadget, rectangle, black, small)
1-dice (toy, rectangle, red, small)
1-the triangle (music, triangle, white, medium)
1-orange (fruit, round, orange, medium)
3-laptop (gadget, rectangle, red, medium)
1-tennis ball (sports, round, green, medium)
2-orange (fruit, round, orange, medium)
3-table (furniture, rectangle, brown, medium)
