2-hat (fashion, round, purple, medium)
3-pizza slice (food, triangle, yellow, medium)
3-tv (gadget, rectangle, black, medium)
2-tv (gadget, rectangle, black, medium)
2-laptop (gadget, rectangle, red, medium)
2-cloth hanger (fashion, triangle, blue, large)
2-the triangle (music, triangle, white, medium)
2-dice (toy, rectangle, red, small)
2-pizza slice (food, triangle, yellow, medium)
2-drum (music, round, blue, medium)
2-tennis ball (sports, round, green, medium)
2-alphabet block (toy, rectangle, green, small)
3-table (furniture, rectangle, brown, medium)
3-handphone (gadget, rectangle, black, small)
3-bed (furniture, rectangle, white, large)
